Pseudonym,Faculty,Post,Duration of employment,Frequency educator believe students are using AI,AI used by respondents,Professional Development in AI,Modified the course keeping AI in mind
SR1,Not indicated ,adjunct senior lecturer,0 to 5,Never,ChatGPT,NO P.D.,yes
SR2, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Bing AI,P.D. UNDERTAKEN,no
SR3,"Science, Engineering  & Tech",on fixed term ,5 to 10,Sometimes,Midjourney,INADEQUATE P.D.,maybe
SR4, Health & Medical Sciences,tenured staff,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR5, Health & Medical Sciences,tenured staff,10 to 15,Sometimes,Dalle-E,P.D. UNDERTAKEN,yes
SR6, Health & Medical Sciences,tenured staff,>15,Often,ChatGPT,P.D. UNDERTAKEN,no
SR7,"Science, Engineering  & Tech",tenured staff,>15,Sometimes,Grammarly,P.D. UNDERTAKEN,yes
SR8,"Arts, Business, Law  & Economics",on fixed term ,0 to 5,Often,ChatGPT,NO P.D.,yes
SR9, Health & Medical Sciences,tenured staff,5 to 10,Sometimes,Bing AI,NO P.D.,maybe
SR10,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Often,Midjourney,NO P.D.,no
SR11, Health & Medical Sciences,tenured staff,5 to 10,Sometimes,ChatGPT,NO P.D.,yes
SR12, Health & Medical Sciences,tenured staff,10 to 15,Rarely,Dalle-E,INADEQUATE P.D.,yes
SR13, Health & Medical Sciences,tenured staff,>15,Often,ChatGPT,INADEQUATE P.D.,no
SR14, Health & Medical Sciences,tenured staff,>15,Sometimes,Bing AI,INADEQUATE P.D.,yes
SR15,"Science, Engineering  & Tech",on fixed term ,0 to 5,Often,Grammarly,P.D. UNDERTAKEN,no
SR16, Health & Medical Sciences,tenured staff,5 to 10,Sometimes,ChatGPT,P.D. UNDERTAKEN,yes
SR17, Health & Medical Sciences,tenured staff,5 to 10,Often,ChatGPT,P.D. UNDERTAKEN,yes
SR18, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Bing AI,NO P.D.,yes
SR19,"Arts, Business, Law  & Economics",on fixed term ,10 to 15,Sometimes,Grammarly,P.D. UNDERTAKEN,no
SR20,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR21, Health & Medical Sciences,tenured staff,>15,Often,Midjourney,P.D. UNDERTAKEN,yes
SR22,"Science, Engineering  & Tech",on fixed term ,0 to 5,Sometimes,Research Rabbit,P.D. UNDERTAKEN,no
SR23, Health & Medical Sciences,tenured staff,5 to 10,Sometimes,ChatGPT,P.D. UNDERTAKEN,no
SR24, Health & Medical Sciences,tenured staff,5 to 10,Often,Dalle-E,P.D. UNDERTAKEN,yes
SR25, Health & Medical Sciences,tenured staff,5 to 10,Rarely,Otter,NO P.D.,no
SR26,Not indicated ,on fixed term ,10 to 15,Sometimes,ChatGPT,NO P.D.,no
SR27,"Arts, Business, Law  & Economics",tenured staff,>15,Sometimes,Elicit,NO P.D.,yes
SR28,"Arts, Business, Law  & Economics",tenured staff,>15,Rarely,ChatGPT,NO P.D.,no
SR29, Health & Medical Sciences,tenured staff,>15,Sometimes,ChatGPT,INADEQUATE P.D.,yes
SR30,"Arts, Business, Law  & Economics",tenured staff,0 to 5,Often,Dalle-E,INADEQUATE P.D.,maybe
SR31,"Science, Engineering  & Tech",tenured staff,5 to 10,Sometimes,Bing AI,INADEQUATE P.D.,no
SR32,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,no
SR33,Not indicated ,adjunct senior lecturer,5 to 10,Sometimes,Otter,P.D. UNDERTAKEN,no
SR34,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Rarely,Research Rabbit,P.D. UNDERTAKEN,yes
SR35,"Science, Engineering  & Tech",adjunct senior lecturer,>15,Rarely,Otter,NO P.D.,yes
SR36,"Arts, Business, Law  & Economics",adjunct senior lecturer,>15,Often,Otter,P.D. UNDERTAKEN,no
SR37,Not indicated ,adjunct senior lecturer,>15,Rarely,Grammarly,INADEQUATE P.D.,no
SR38,Not indicated ,adjunct senior lecturer,0 to 5,Often,Midjourney,P.D. UNDERTAKEN,no
SR39,"Science, Engineering  & Tech",adjunct senior lecturer,5 to 10,Rarely,ChatGPT,P.D. UNDERTAKEN,yes
SR40, Health & Medical Sciences,tenured staff,5 to 10,Never,Grammarly,P.D. UNDERTAKEN,yes
SR41,"Science, Engineering  & Tech",on fixed term ,5 to 10,Rarely,Grammarly,P.D. UNDERTAKEN,yes
SR42,"Science, Engineering  & Tech",adjunct senior lecturer,10 to 15,Never,Research Rabbit,NO P.D.,no
SR43,"Science, Engineering  & Tech",tenured staff,>15,Never,Dalle-E,NO P.D.,no
SR44,"Science, Engineering  & Tech",tenured staff,>15,Rarely,Research Rabbit,NO P.D.,yes
SR45,"Arts, Business, Law  & Economics",on fixed term ,>15,Never,Dalle-E,NO P.D.,maybe
SR46,Not indicated ,adjunct senior lecturer,0 to 5,Often,Dalle-E,INADEQUATE P.D.,no
SR47,"Arts, Business, Law  & Economics",on fixed term ,5 to 10,Sometimes,ChatGPT,INADEQUATE P.D.,no
SR48,"Arts, Business, Law  & Economics",adjunct senior lecturer,5 to 10,Rarely,Otter,INADEQUATE P.D.,no
SR49,"Arts, Business, Law  & Economics",tenured staff,5 to 10,Never,ChatGPT,P.D. UNDERTAKEN,yes
SR50,"Science, Engineering  & Tech",tenured staff,10 to 15,Rarely,Midjourney,P.D. UNDERTAKEN,no
SR51, Health & Medical Sciences,tenured staff,>15,Often,Dalle-E,P.D. UNDERTAKEN,no
SR52,Not indicated ,tenured staff,>15,Rarely,Grammarly,P.D. UNDERTAKEN,yes
SR53, Health & Medical Sciences,on fixed term ,>15,Rarely,Otter,NO P.D.,no
